Singles (2003),"""Looking For Love"""," ""Single Life"""," ""Twentysomething Life""",,,,,,
Sylvia Scarlett (1935),"""Fathers and Daughters"""," ""Gender-Bending"""," ""Jewel Theft""",,,,,,
Le Cercle Rouge (1970),"""Jewel Theft""",,,,,,,,
China Passage (1937),"""Jewel Theft"""," ""Ship Cruises""",,,,,,,
Kangaroo Jack: G'Day USA! (2004),"""Clearing One's Name"""," ""Jewel Theft"""," ""Race Against Time""",,,,,,
Number 17 (1932),"""Jewel Theft""",,,,,,,,
Looney Tunes: Back in Action (2003),"""Obsessive Quests"""," ""Unlikely Heroes"""," ""Jewel Theft"""," ""Treasure Hunts""",,,,,
The Burglar (1957),"""Jewel Theft"""," ""Police Corruption"""," ""Woman In Jeopardy"""," ""Kidnapping""",,,,,
In a Lonely Place (1950),"""Dangerous Attraction"""," ""Haunted By the Past"""," ""Age Disparity Romance""",,,,,,
Father Goose (1964),"""Opposites Attract"""," ""Age Disparity Romance""",,,,,,,
The Curious Case of Benjamin Button (2008),"""Age Disparity Romance"""," ""Miraculous Events"""," ""Metamorphosis""",,,,,,
That Obscure Object of Desire (1977),"""Age Disparity Romance"""," ""Self-Destructive Romance""",,,,,,,
Nobody's Fool (1994),"""Fathers and Sons"""," ""Redemption"""," ""Small-Town Life"""," ""Age Disparity Romance"""," ""Faltering Friendships""",,,,
The Diary of a Teenage Girl (2015),"""Age Disparity Romance"""," ""First Love"""," ""High School Life"""," ""Innocence Lost"""," ""Misfits and Outsiders"""," ""Rape & Sexual Abuse"""," ""Sexual Awakening""",,
Meeting Evil (2012),"""Dangerous Friends"""," ""Down on Their Luck"""," ""Stalkers""",,,,,,
The Cable Guy (1996),"""Dangerous Friends"""," ""Stalkers""",,,,,,,
The Hand That Rocks the Cradle (1992),"""Femmes Fatales"""," ""Nannies and Caregivers"""," ""Out For Revenge"""," ""Stalkers"""," ""Wolf in Sheep's Clothing""",,,,
He Knows You're Alone (1980),"""Serial Killers"""," ""Stalkers"""," ""Woman In Jeopardy""",,,,,,
Play Misty for Me (1971),"""Dangerous Attraction"""," ""Haunted By the Past"""," ""Out For Revenge"""," ""Stalkers""",,,,,
Sleep Tight (2011),"""Dangerous Attraction"""," ""Stalkers"""," ""Woman In Jeopardy""",,,,,,
When a Stranger Calls (1979),"""Nannies and Caregivers"""," ""Woman In Jeopardy"""," ""Serial Killers"""," ""Stalkers"""," ""Criminal's Revenge""",,,,
The Gift (2015),"""Haunted By the Past"""," ""Mind Games"""," ""Wolf in Sheep's Clothing"""," ""Expecting a Baby"""," ""Stalkers"""," ""Treacherous Spouses""",,,
Red Road (2006),"""Haunted By the Past"""," ""Voyeurs"""," ""Stalkers"""," ""Dangerous Attraction""",,,,,
The Loved Ones (2009),"""Death of a Parent"""," ""Haunted By the Past"""," ""Stalkers""",,,,,,
The King of Comedy (1983),"""Kidnapping"""," ""Big Break"""," ""Nothing Goes Right"""," ""Stalkers""",,,,,
Secret Window (2004),"""Breakups and Divorces"""," ""Creative Block"""," ""Mental Breakdown"""," ""Stalkers""",,,,,
Wrecker (2015),"""Stalkers""",,,,,,,,
Santa Claws (1996),"""Actor's Life"""," ""Serial Killers"""," ""Stalkers"""," ""Woman In Jeopardy""",,,,,
The Perfect Guy (2015),"""Breakups and Divorces"""," ""Dangerous Attraction"""," ""Stalkers"""," ""Woman In Jeopardy""",,,,,
Montenegro (1981),"""Dysfunctional Families"""," ""Eccentric Families"""," ""Families in Crisis"""," ""Interracial/Cross-Cultural Romance"""," ""Journey of Self-Discovery"""," ""Mental Illness"""," ""Sexual Awakening""",,
The Tree of Life (2011),"""Existential Crisis"""," ""Families in Crisis"""," ""Fathers and Sons""",,,,,,
O'Horten (2008),"""Fired or Laid-Off"""," ""Golden Years""",,,,,,,
Stripes (1981),"""Arrested Adolescence"""," ""Behind the Iron Curtain"""," ""Dropping Out"""," ""Fired or Laid-Off"""," ""Military Life""",,,,
24 City (2008),"""Fired or Laid-Off""",,,,,,,,
Falling Down (1993),"""Mental Illness"""," ""Vigilantes"""," ""Fired or Laid-Off"""," ""Unlikely Criminals""",,,,,
Wanderlust (2012),"""Bohemian Life"""," ""Existential Crisis"""," ""Fired or Laid-Off"""," ""Starting Over""",,,,,
Outsourced (2007),"""Culture Clash"""," ""Fired or Laid-Off""",,,,,,,
The Full Monty (1997),"""Down on Their Luck"""," ""Fired or Laid-Off"""," ""Underdogs"""," ""Single Parents""",,,,,
The Towering Inferno (1974),"""Daring Rescues"""," ""Trapped or Confined""",,,,,,,
Stuck (2007),"""Crisis of Conscience"""," ""Trapped or Confined""",,,,,,,
Cube (1997),"""Future Dystopias"""," ""Trapped or Confined""",,,,,,,
Pontypool (2008),"""Plagues and Epidemics"""," ""Trapped or Confined""",,,,,,,
Compliance (2011),"""Cons and Scams"""," ""Miscarriage of Justice"""," ""Trapped or Confined""",,,,,,
Georgy Girl (1966),"""Love Triangles""",,,,,,,,
Two Lovers (2008),"""Love Triangles"""," ""Existential Crisis"""," ""Infidelity""",,,,,,
Butch Cassidy and the Sundance Kid (1969),"""Fighting the System"""," ""Love Triangles"""," ""Americans Abroad""",,,,,,
Treeless Mountain (2008),"""Alcoholism"""," ""Families in Crisis"""," ""Sibling Relationships""",,,,,,
The Song of Sparrows (2008),"""Down on Their Luck"""," ""Families in Crisis"""," ""Fathers and Daughters"""," ""Fired or Laid-Off"""," ""Journey of Self-Discovery"""," ""Obsessive Quests""",,,
Cape Fear (1991),"""Criminal's Revenge"""," ""Haunted By the Past"""," ""Mind Games"""," ""Southern Gothic"""," ""Stalkers""",,,,
Being Julia (2004),"""Age Disparity Romance"""," ""Infidelity"""," ""Out For Revenge""",,,,,,
All That Heaven Allows (1955),"""Age Disparity Romance"""," ""Class Differences"""," ""Star-Crossed Lovers"""," ""Sibling Relationships""",,,,,
Brewster's Millions (1985),"""Fish Out of Water"""," ""Down on Their Luck"""," ""Inheritance at Stake"""," ""Race Against Time"""," ""Rags To Riches""",,,,
Cat on a Hot Tin Roof (1984),"""Alcoholism"""," ""Crumbling Marriages"""," ""Fathers and Sons"""," ""Haunted By the Past"""," ""Inheritance at Stake"""," ""Southern Gothic""",,,
Brewster's Millions (1920),"""Inheritance at Stake""",,,,,,,,
"Like the Clouds, Like the Wind (1991)","""Crowned Heads"""," ""Inheritance at Stake"""," ""Rags To Riches""",,,,,,
My Cousin Rachel (1952),"""Death of a Partner"""," ""Inheritance at Stake""",,,,,,,
The Perfect Marriage (2005),"""Assumed Identities"""," ""Blackmail"""," ""Cons and Scams"""," ""Infidelity"""," ""Inheritance at Stake""",,,,
Seven Chances (1925),"""Inheritance at Stake"""," ""Wedding Bells""",,,,,,,
Above Suspicion (1994),"""Infidelity"""," ""Inheritance at Stake"""," ""Living With Disability"""," ""Suicide"""," ""Treacherous Spouses""",,,,
The Aristocats (1970),"""Finding a Way Back Home"""," ""Inheritance at Stake""",,,,,,,
Stay Hungry (1976),"""Love Triangles"""," ""Unlikely Friendships"""," ""Class Differences"""," ""Inheritance at Stake""",,,,,
Oscar and Lucinda (1997),"""Gambling"""," ""Inheritance at Stake"""," ""Obsessive Quests""",,,,,,
Lemony Snicket's A Series of Unfortunate Events (2004),"""Orphans"""," ""Inheritance at Stake""",,,,,,,
Little Lord Fauntleroy (1921),"""Inheritance at Stake"""," ""Mothers and Sons"""," ""Rags To Riches""",,,,,,
The Country Kid (1923),"""Orphans"""," ""Inheritance at Stake"""," ""Righting the Wronged""",,,,,,
Always Together (1947),"""Foibles of Marriage"""," ""Inheritance at Stake""",,,,,,,
Bright Young Things (2003),"""Down on Their Luck"""," ""Inheritance at Stake"""," ""Love Triangles"""," ""Social Climbing"""," ""Writer's Life""",,,,
Way Out West (1937),"""Inheritance at Stake"""," ""Assumed Identities"""," ""Cons and Scams""",,,,,,
Bleak House (2005),"""Inheritance at Stake"""," ""Orphans""",,,,,,,
The Cat and the Canary (1978),"""Inheritance at Stake"""," ""Woman In Jeopardy""",,,,,,,
Transamerica (2005),"""Gender-Bending"""," ""Parenthood"""," ""Haunted By the Past"""," ""Mistaken Identities""",,,,,
The Naked Civil Servant (1975),"""Gender-Bending"""," ""Social Injustice""",,,,,,,
Albert Nobbs (2011),"""Assumed Identities"""," ""Gender-Bending"""," ""Servants and Employers""",,,,,,
The Frozen Ghost (1945),"""Mental Breakdown"""," ""Wax Museums""",,,,,,,
Terror in the Wax Museum (1973),"""Serial Killers"""," ""Wax Museums""",,,,,,,
Nightmare in Wax (1969),"""Serial Killers"""," ""Wax Museums""",,,,,,,
Wax Mask (1997),"""Crime Sprees"""," ""Mind Games"""," ""Serial Killers"""," ""Haunted By the Past"""," ""Witnessing a Crime"""," ""Wax Museums""",,,
Midnight at the Wax Museum (1936),"""Wax Museums""",,,,,,,,
Charlie Chan at the Wax Museum (1940),"""Star Detectives"""," ""Wax Museums""",,,,,,,
Chamber of Horrors (1966),"""Serial Killers"""," ""Wax Museums""",,,,,,,
Waxwork (1988),"""Mummies"""," ""Mutants"""," ""Vampires"""," ""Wax Museums"""," ""Werewolves""",,,,
The House That Dripped Blood (1971),"""Mental Breakdown"""," ""Vampires"""," ""Voodoo"""," ""Wax Museums"""," ""Witches""",,,,
Santo en el Museo De Cera (1963),"""Mad Scientists"""," ""Wax Museums"""," ""Wrestling""",,,,,,
Waxwork II: Lost in Time (1991),"""Time Travel"""," ""Wax Museums""",,,,,,,
Waxworks (1924),"""Wax Museums"""," ""Serial Killers""",,,,,,,
"Europa, Europa (1991)","""Assumed Identities"""," ""Crimes Against Humanity"""," ""Totalitarian States""",,,,,,
Mephisto (1981),"""Rise and Fall Stories"""," ""Totalitarian States"""," ""Actor's Life""",,,,,,
Earth (1930),"""Down on Their Luck"""," ""Totalitarian States""",,,,,,,
Gattaca (1997),"""Assumed Identities"""," ""Future Dystopias"""," ""Social Injustice"""," ""Totalitarian States"""," ""Fighting the System""",,,,
Starship Troopers (1997),"""Future Dystopias"""," ""Heroic Mission"""," ""Evil Aliens"""," ""Military Life"""," ""Totalitarian States""",,,,
Triumph of the Will (1935),"""Totalitarian States""",,,,,,,,
Red Lights (2004),"""Crumbling Marriages"""," ""Missing Persons"""," ""Nightmare Vacations""",,,,,,
Rollerball (1975),"""Fighting the System"""," ""Future Dystopias"""," ""Righting the Wronged"""," ""Totalitarian States""",,,,,
Fear and Loathing in Las Vegas (1998),"""Cons and Scams"""," ""Culture Clash"""," ""Drug Addiction"""," ""Nightmare Vacations"""," ""Nothing Goes Right""",,,,
Dead Calm (1989),"""Nightmare Vacations"""," ""Woman In Jeopardy"""," ""Trapped or Confined""",,,,,,
Severance (2006),"""Nightmare Vacations""",,,,,,,,
The River Wild (1994),"""Nightmare Vacations"""," ""Crime Gone Awry"""," ""Survival in the Wilderness"""," ""Crumbling Marriages""",,,,,
Sightseers (2012),"""Crime Sprees"""," ""Nightmare Vacations"""," ""Serial Killers""",,,,,,
Withnail & I (1987),"""Fish Out of Water"""," ""Nightmare Vacations"""," ""Faltering Friendships"""," ""Down on Their Luck"""," ""Actor's Life""",,,,
Knife in the Water (1962),"""Crumbling Marriages"""," ""Infidelity"""," ""Nightmare Vacations"""," ""Brief Encounters"""," ""Class Differences""",,,,
Transsiberian (2008),"""Americans Abroad"""," ""Nightmare Vacations"""," ""Train Rides""",,,,,,
The Cabin in the Woods (2012),"""Nightmare Vacations"""," ""Mind Games""",,,,,,,
Why Worry? (1923),"""Fish Out of Water"""," ""Journey of Self-Discovery"""," ""Nightmare Vacations"""," ""Political Unrest"""," ""Unlikely Friendships""",,,,
The Angel Levine (1970),"""Crisis of Faith"""," ""Angels"""," ""Redemption""",,,,,,
The Angel Who Pawned Her Harp (1954),"""Angels""",,,,,,,,
Angels in the Outfield (1951),"""Angels"""," ""Baseball Players"""," ""Members of the Press"""," ""Orphans"""," ""Underdogs""",,,,
Michael (1996),"""Fish Out of Water"""," ""Angels"""," ""Members of the Press""",,,,,,
Finding John Christmas (2003),"""Angels""",,,,,,,,
Angels and Demons Revealed (2004),"""Angels""",,,,,,,,
Angel-A (2005),"""Angels"""," ""Suicide""",,,,,,,
Ricky (2009),"""Angels"""," ""Expecting a Baby"""," ""Miraculous Events""",,,,,,
A Beautiful Soul (2012),"""Angels"""," ""Journey of Self-Discovery"""," ""Musician's Life"""," ""Spiritual Awakening""",,,,,
Charley and the Angel (1973),"""Redemption"""," ""Miraculous Events"""," ""Angels"""," ""Going Straight""",,,,,
What If... (2010),"""Angels"""," ""Journey of Self-Discovery""",,,,,,,
The Vintner's Luck (2009),"""Angels"""," ""Obsessive Quests""",,,,,,,
Date with an Angel (1987),"""Supernatural Romance"""," ""Otherwise Engaged"""," ""Angels""",,,,,,
Almost an Angel (1990),"""Angels"""," ""Going Straight"""," ""Living With Disability"""," ""Redemption""",,,,,
Gabriel & Me (2001),"""Angels"""," ""Eccentric Families"""," ""Fathers and Sons"""," ""Fish Out of Water""",,,,,
I Married an Angel (1942),"""Angels"""," ""Supernatural Romance""",,,,,,,
Hyoja-Dong Ibalsa (2004),"""Political Corruption"""," ""Political Unrest"""," ""Saintly Fools""",,,,,,
Benny & Joon (1993),"""Mental Illness"""," ""Saintly Fools"""," ""Sibling Relationships""",,,,,,
Gigot (1962),"""Saintly Fools"""," ""Unlikely Friendships""",,,,,,,
Breakfast on Pluto (2004),"""Journey of Self-Discovery"""," ""Gender-Bending"""," ""Fathers and Sons"""," ""Mothers and Sons"""," ""Saintly Fools"""," ""Terrorism""",,,
What's Eating Gilbert Grape (1993),"""Small-Town Life"""," ""Eccentric Families"""," ""Mothers and Sons"""," ""Sibling Relationships"""," ""Saintly Fools""",,,,
Tommy Boy (1995),"""Nothing Goes Right"""," ""Underdogs"""," ""Saintly Fools""",,,,,,
The Fairy (2011),"""Expecting a Baby"""," ""Mental Illness"""," ""Saintly Fools""",,,,,,
The Passion of Darkly Noon (1995),"""Journey of Self-Discovery"""," ""Saintly Fools""",,,,,,,
Chuck & Buck (2000),"""Keeping a Secret"""," ""Stalkers"""," ""Saintly Fools""",,,,,,
The SpongeBob SquarePants Movie (2004),"""Heroic Mission"""," ""Saintly Fools""",,,,,,,
Edward Scissorhands (1990),"""Fish Out of Water"""," ""Saintly Fools"""," ""Suburban Dysfunction""",,,,,,
Su Excelencia (1966),"""Fish Out of Water"""," ""Police Corruption"""," ""Saintly Fools""",,,,,,
Brewster McCloud (1970),"""Obsessive Quests"""," ""Fighting the System"""," ""Saintly Fools""",,,,,,
The Sad Sack (1957),"""Military Life"""," ""Saintly Fools""",,,,,,,
The Rules of the Game (1939),"""Class Differences"""," ""Servants and Employers"""," ""Party Film""",,,,,,
Snowpiercer (2013),"""Class Differences"""," ""Trapped or Confined""",,,,,,,
A Place in the Sun (1951),"""Class Differences"""," ""Treacherous Spouses"""," ""Rise and Fall Stories"""," ""Social Climbing""",,,,,
Tim (1979),"""Age Disparity Romance"""," ""Saintly Fools""",,,,,,,
Highway to Heaven: Hello and Farewell (1984),"""Angels"""," ""Message From God"""," ""Missionaries"""," ""Redemption""",,,,,
Bay of Blood (1971),"""Nightmare Vacations"""," ""Serial Killers""",,,,,,,
Trumbo (2015),"""Conspiracies"""," ""Fighting the System""",,,,,,,
Burma VJ: Reporting From a Closed Country (2008),"""Fighting the System"""," ""Going Undercover"""," ""Members of the Press"""," ""Political Unrest"""," ""Totalitarian States""",,,,
House of Wax (2005),"""Nightmare Vacations"""," ""Serial Killers"""," ""Sibling Relationships"""," ""Wax Museums""",,,,,
Water Drops On Burning Rocks (2000),"""Age Disparity Romance"""," ""Gender-Bending""",,,,,,,
The Manchurian Candidate (1962),"""Assassination Plots"""," ""Conspiracies""",,,,,,,
Three Days of the Condor (1975),"""Assassination Plots"""," ""Conspiracies"""," ""Witnessing a Crime""",,,,,,
The Patriot (1928),"""Assassination Plots"""," ""Crowned Heads"""," ""Faltering Friendships""",,,,,,
Marat / Sade (1966),"""Fighting the System"""," ""Political Unrest"""," ""Assassination Plots""",,,,,,
Chisum (1970),"""Ranchers""",,,,,,,,
Lonesome Dove (1989),"""Ranchers""",,,,,,,,
She Wore a Yellow Ribbon (1949),"""Lone Wolves"""," ""Ranchers"""," ""Sheriffs and Outlaws"""," ""Taming the West""",,,,,
The Man from Snowy River (1982),"""Ranchers"""," ""White People Among Indians""",,,,,,,
Tumbleweeds (1925),"""Ranchers"""," ""Taming the West""",,,,,,,
My Darling Clementine (1946),"""Taming the West"""," ""Ranchers"""," ""Sheriffs and Outlaws""",,,,,,
Go West (1925),"""Fish Out of Water"""," ""Ranchers""",,,,,,,
Red River (1988),"""Fathers and Sons"""," ""Ranchers""",,,,,,,
The Cowboys (1972),"""Mentors"""," ""Out For Revenge"""," ""Ranchers""",,,,,,
The Bandit Trail (1941),"""Unlikely Criminals"""," ""Ranchers"""," ""Sheriffs and Outlaws"""," ""Fathers and Sons""",,,,,
The Man from Laramie (1955),"""Out For Revenge"""," ""Fathers and Sons"""," ""Ranchers""",,,,,,
The Tall T (1957),"""Hostage Situations"""," ""Ranchers""",,,,,,,
Riders in the Sky (1949),"""Miscarriage of Justice"""," ""Fighting the System"""," ""Righting the Wronged"""," ""Ranchers""",,,,,
City Slickers (1991),"""Midlife Crises"""," ""Fish Out of Water"""," ""Ranchers""",,,,,,
The Slaughter Rule (2002),"""Faltering Friendships"""," ""Football Players"""," ""High School Life"""," ""Innocence Lost""",,,,,
Wildcats (1986),"""Custody Battles"""," ""Fish Out of Water"""," ""Football Players"""," ""Underdogs""",,,,,
The Quarterback (1926),"""Death of a Partner"""," ""Football Players""",,,,,,,
Three Little Pigskins (1934),"""Football Players"""," ""Mistaken Identities""",,,,,,,
The Longest Yard (2005),"""Football Players"""," ""All Washed Up"""," ""Underdogs"""," ""Unlikely Friendships""",,,,,
Gleason (2016),"""Families in Crisis"""," ""Football Players"""," ""Parenthood""",,,,,,
Easy Living (1949),"""Crumbling Marriages"""," ""Football Players"""," ""Midlife Crises""",,,,,,
Head Games (2012),"""Football Players"""," ""Living With Disability""",,,,,,,
Brian's Song (1970),"""Football Players"""," ""Battling Illness""",,,,,,,
The Longest Yard (1974),"""Football Players""",,,,,,,,
Backfield in Motion (1991),"""Football Players""",,,,,,,,
Lucas (1986),"""Underdogs"""," ""Unrequited Love"""," ""Coping With Puberty k"""," ""First Love"""," ""Football Players"""," ""High School Life""",,,
Remember the Titans (2000),"""Football Players"""," ""Race Relations"""," ""Underdogs""",,,,,,
The Rose Bowl Story (1952),"""Football Players"""," ""Mistaken Identities""",,,,,,,
Last Exit to Brooklyn (1990),"""Inner City Blues"""," ""Labor Unions"""," ""Prostitutes""",,,,,,
Hoffa (1992),"""Labor Unions"""," ""Rise and Fall Stories""",,,,,,,
I'm All Right Jack (1959),"""Labor Unions""",,,,,,,,
The Valley of Decision (1945),"""Servants and Employers"""," ""Labor Unions""",,,,,,,
Pride (2014),"""Labor Unions"""," ""Social Injustice""",,,,,,,
Salt of the Earth (1954),"""Down on Their Luck"""," ""Labor Unions""",,,,,,,
Kameradschaft (1931),"""Daring Rescues"""," ""Labor Unions""",,,,,,,
Man of Marble (1976),"""Fighting the System"""," ""Labor Unions"""," ""Rise and Fall Stories"""," ""Social Injustice""",,,,,
"Harlan County, USA (1976)","""Class Differences"""," ""Labor Unions"""," ""Social Injustice""",,,,,,
An Injury to One (2002),"""Social Injustice"""," ""Labor Unions"""," ""Fighting the System"""," ""Murder Investigations""",,,,,
Man of Iron (1981),"""Labor Unions"""," ""Members of the Press"""," ""Political Unrest""",,,,,,
Matewan (1987),"""Labor Unions"""," ""Social Injustice"""," ""Fighting the System""",,,,,,
How Green Was My Valley (1941),"""Labor Unions""",,,,,,,,
Germinal (1993),"""Labor Unions"""," ""Social Injustice""",,,,,,,
FDNY Dream Bike (2004),"""Death of a Friend"""," ""Obsessive Quests"""," ""Terrorism""",,,,,,
The Bloody Child (1996),"""Death of a Friend"""," ""Military Life"""," ""Murder Investigations"""," ""Treacherous Spouses""",,,,,
Cut Sleeve Boys (2005),"""Playing the Field"""," ""Single Life"""," ""Death of a Friend"""," ""Faltering Friendships"""," ""Looking For Love"""," ""Journey of Self-Discovery""",,,
The Benefactor (2015),"""Betrayal"""," ""Dangerous Friends"""," ""Death of a Friend"""," ""Death of a Parent"""," ""Haunted By the Past"""," ""Intersecting Lives"""," ""Mental Breakdown""",,
Those Who Love Me Can Take The Train (1998),"""Death of a Friend"""," ""Faltering Friendships"""," ""Haunted By the Past"""," ""Midlife Crises""",,,,,
Bridge to Terabithia (1985),"""Unlikely Friendships"""," ""Fantasy Life"""," ""Death of a Friend"""," ""Fantasy Lands"""," ""Mischievous Children"""," ""Sibling Relationships""",,,
Last Orders (2001),"""Death of a Friend"""," ""Journey of Self-Discovery"""," ""Fathers and Sons"""," ""Mothers and Daughters""",,,,,
Belorussky Vokzal (1971),"""Home From the War"""," ""Death of a Friend"""," ""Haunted By the Past""",,,,,,
Stealing Home (1988),"""Death of a Friend"""," ""First Love"""," ""Sexual Awakening""",,,,,,
The New Girlfriend (2014),"""Death of a Friend"""," ""Death of a Partner"""," ""Gender-Bending""",,,,,,
The Dark End of the Street (1981),"""Death of a Friend"""," ""Race Relations"""," ""Teen Angst""",,,,,,
The Wait (2015),"""Betrayal"""," ""Death of a Child"""," ""Death of a Friend""",,,,,,
A Letter To True (2003),"""Man's Best Friend"""," ""Death of a Friend"""," ""Political Unrest""",,,,,,
Grand Theft Parsons (2003),"""Death of a Friend"""," ""Musician's Life""",,,,,,,
The Big Chill (1983),"""Faltering Friendships"""," ""Death of a Friend"""," ""Midlife Crises"""," ""Starting Over""",,,,,
Lawless Heart (2001),"""Death of a Friend"""," ""Looking For Love"""," ""Twentysomething Life"""," ""Love Triangles""",,,,,
Source Code (2011),"""Race Against Time"""," ""Time Travel""",,,,,,,
Midnight in Paris (2011),"""Americans Abroad"""," ""Existential Crisis"""," ""Time Travel"""," ""Writer's Life""",,,,,
Berkeley Square (1933),"""Experiments Gone Awry"""," ""Star-Crossed Lovers"""," ""Time Travel""",,,,,,
Looper (2012),"""Hired Killers"""," ""Time Travel"""," ""Mothers and Sons""",,,,,,
Slaughterhouse-Five (1972),"""Time Travel"""," ""Benign Aliens"""," ""Assassination Plots"""," ""Fathers and Sons"""," ""Midlife Crises""",,,,
Star Trek IV: The Voyage Home (1986),"""Time Travel""",,,,,,,,
Peggy Sue Got Married (1986),"""Time Travel""",,,,,,,,
The Flight of Dragons (1982),"""Time Travel"""," ""Heroic Mission"""," ""Fish Out of Water""",,,,,,
The Nice Guys (2016),"""Conspiracies"""," ""Murder Investigations"""," ""Prostitutes"""," ""Suicide"""," ""Unlikely Heroes""",,,,
Safety Not Guaranteed (2012),"""Members of the Press"""," ""Obsessive Quests"""," ""Time Travel""",,,,,,
Beaches (1988),"""Death of a Friend"""," ""Dying Young"""," ""Faltering Friendships"""," ""Love Triangles"""," ""Women's Friendship""",,,,
As I Lay Dying (2013),"""Death of a Friend""",,,,,,,,
Riff-Raff (1991),"""Down on Their Luck"""," ""Labor Unions""",,,,,,,
Open Range (2003),"""Ranchers""",,,,,,,,
Gunfighters (1947),"""Lone Wolves"""," ""Righting the Wronged"""," ""Ranchers""",,,,,,
The Sentinel (2006),"""Assassination Plots"""," ""Clearing One's Name"""," ""Conspiracies"""," ""Traitorous Spies/Double Agents""",,,,,
Beau Sabreur (1928),"""Foreign Legion""",,,,,,,,
Abbott & Costello in the Foreign Legion (1950),"""Foreign Legion"""," ""Unlikely Heroes""",,,,,,,
The Devil's in Love (1933),"""Clearing One's Name"""," ""Foreign Legion""",,,,,,,
March or Die (1977),"""Foreign Legion""",,,,,,,,
Rogues' Regiment (1948),"""Foreign Legion""",,,,,,,,
Beau Hunks (1931),"""Foreign Legion""",,,,,,,,
Fort Saganne (1984),"""Colonialism"""," ""Foreign Legion"""," ""Military Life""",,,,,,
The Flying Deuces (1939),"""Foreign Legion""",,,,,,,,
La Legion Saute Sur Kolwezi (1980),"""Hostage Situations"""," ""Daring Rescues"""," ""Foreign Legion""",,,,,,
La Bandera (1935),"""Foreign Legion"""," ""Love Triangles""",,,,,,,
Morocco (1930),"""Foreign Legion""",,,,,,,,
Legionnaire (1999),"""Foreign Legion"""," ""Mercenaries""",,,,,,,
Beau Geste (1926),"""Foreign Legion"""," ""Miscarriage of Justice"""," ""Sibling Relationships""",,,,,,
Beau Geste (1966),"""Foreign Legion""",,,,,,,,
Beau Geste (1939),"""Foreign Legion"""," ""Heroic Mission"""," ""Sibling Relationships""",,,,,,
Renegades (1930),"""Foreign Legion"""," ""Redemption""",,,,,,,
The Last Remake of Beau Geste (1977),"""Foreign Legion""",,,,,,,,
Beau Ideal (1931),"""Foreign Legion""",,,,,,,,
Beau Travail (1999),"""Military Life"""," ""Foreign Legion""",,,,,,,
Legion of Missing Men (1937),"""Sibling Relationships"""," ""Foreign Legion"""," ""Love Triangles""",,,,,,
Adventure in Sahara (1938),"""Foreign Legion"""," ""Redemption""",,,,,,,
Splinters (2011),"""Surfing""",,,,,,,,
Beyond Paradise (1998),"""Fish Out of Water"""," ""Surfing""",,,,,,,
Dogtown and Z-Boys (2001),"""Underdogs"""," ""Surfing""",,,,,,,
Step Into Liquid (2003),"""Surfing""",,,,,,,,
Surfwise: The Amazing True Odyssey of the Paskowitz Family (2007),"""Bohemian Life"""," ""Dysfunctional Families"""," ""Surfing""",,,,,,
Billabong Odyssey (2003),"""Surfing""",,,,,,,,
The Endless Summer (1966),"""Surfing""",,,,,,,,
Bra Boys (2007),"""Street Gangs"""," ""Surfing""",,,,,,,
The Endless Summer II: The Journey Continues (1994),"""Surfing""",,,,,,,,
Drift (2013),"""Going Straight"""," ""Sibling Relationships"""," ""Surfing""",,,,,,
Shelter (2007),"""Journey of Self-Discovery"""," ""Surfing""",,,,,,,
Blue Crush (2002),"""Class Differences"""," ""Down on Their Luck"""," ""Questioning Gender Roles"""," ""Sibling Relationships"""," ""Surfing"""," ""Underdogs""",,,
Soul Surfer (2011),"""Living With Disability"""," ""Surfing"""," ""When Animals Attack""",,,,,,
Point Break (1991),"""Going Undercover"""," ""Bank Robbery"""," ""Dangerous Friends"""," ""Surfing""",,,,,
Riding Giants (2004),"""Surfing""",,,,,,,,
"Surfer, Dude (2008)","""Down on Their Luck"""," ""Existential Crisis"""," ""Surfing""",,,,,,
California Dreaming (1979),"""Fish Out of Water"""," ""Surfing""",,,,,,,
Big Wednesday (1978),"""Faltering Friendships"""," ""Haunted By the Past"""," ""Redemption"""," ""Starting Over"""," ""Surfing""",,,,
Point Break (2015),"""Going Undercover"""," ""Dangerous Friends"""," ""Surfing""",,,,,,
31 (2016),"""Kidnapping"""," ""Trapped or Confined""",,,,,,,
All in a Night's Work (1961),"""Battle of the Sexes""",,,,,,,,
Groundhog Day (1993),"""Battle of the Sexes"""," ""Opposites Attract"""," ""Redemption"""," ""Small-Town Life"""," ""Time Travel"""," ""Fish Out of Water""",,,
Potiche (2010),"""Battle of the Sexes"""," ""Labor Unions"""," ""Love Triangles""",,,,,,
Black Moon (1975),"""Future Dystopias"""," ""Battle of the Sexes"""," ""Mind Games"""," ""Mythical Creatures"""," ""Sexual Awakening"""," ""Talking Animals""",,,
Wadjda (2012),"""Battle of the Sexes""",,,,,,,,
How to Lose a Guy in 10 Days (2003),"""Battle of the Sexes"""," ""Date from Hell"""," ""Opposites Attract"""," ""Playing the Field"""," ""Schemes and Ruses""",,,,
Pat and Mike (1952),"""Battle of the Sexes"""," ""Love Triangles"""," ""Otherwise Engaged""",,,,,,
Oleanna (1994),"""Battle of the Sexes"""," ""Teachers and Students"""," ""Work Ethics""",,,,,,
His Girl Friday (1940),"""Work Ethics"""," ""Battle of the Sexes"""," ""Members of the Press""",,,,,,
