Singles (2003),"""Looking For Love"""," ""Single Life"""," ""Twentysomething Life""",,,,,,
Barbara the Fair with the Silken Hair (1969),"""Switched at Birth"""," ""Crowned Heads"""," ""Fathers and Sons"""," ""Mistaken Identities""",,,,,
Switched at Birth (1999),"""Switched at Birth""",,,,,,,,
The Inner Circle (1991),"""Heads of State"""," ""Behind the Iron Curtain"""," ""Social Injustice""",,,,,,
Pickup on South Street (1953),"""Conspiracies"""," ""Dishonor Among Thieves"""," ""Redemption"""," ""Unlikely Heroes""",,,,,
Innocent Bystanders (1972),"""Behind the Iron Curtain""",,,,,,,,
"Red King, White Knight (1989)","""Assassination Plots"""," ""Behind the Iron Curtain""",,,,,,,
Children of the Revolution (1996),"""Mothers and Sons"""," ""Behind the Iron Curtain""",,,,,,,
Firefox (1982),"""Behind the Iron Curtain"""," ""Heroic Mission"""," ""Lone Wolves""",,,,,,
Coming Out of the Ice (1982),"""Behind the Iron Curtain"""," ""Totalitarian States"""," ""Americans Abroad"""," ""Miscarriage of Justice""",,,,,
Enigma (1982),"""Behind the Iron Curtain""",,,,,,,,
Torn Curtain (1966),"""Behind the Iron Curtain"""," ""Totalitarian States"""," ""Traitorous Spies/Double Agents""",,,,,,
Spy Game (2001),"""Race Against Time"""," ""Traitorous Spies/Double Agents"""," ""Behind the Iron Curtain"""," ""Mentors"""," ""Political Unrest"""," ""Political Corruption""",,,
The Kremlin Letter (1970),"""Behind the Iron Curtain"""," ""Conspiracies"""," ""Traitorous Spies/Double Agents""",,,,,,
Code Name: Heraclitus (1967),"""Behind the Iron Curtain""",,,,,,,,
The Amateur (1982),"""Out For Revenge"""," ""Behind the Iron Curtain"""," ""Assassination Plots"""," ""Political Corruption"""," ""Terrorism"""," ""Traitorous Spies/Double Agents""",,,
White Nights (1985),"""Behind the Iron Curtain"""," ""Dancer's Life""",,,,,,,
The Russia House (1990),"""Behind the Iron Curtain"""," ""Interracial/Cross-Cultural Romance""",,,,,,,
Lautlose Waffen (1966),"""Behind the Iron Curtain""",,,,,,,,
East-West (1999),"""Behind the Iron Curtain"""," ""Totalitarian States"""," ""Political Unrest""",,,,,,
Action of the Tiger (1957),"""Behind the Iron Curtain"""," ""Daring Rescues"""," ""Totalitarian States""",,,,,,
The Yangtse Incident (1957),"""Behind Enemy Lines"""," ""Behind the Iron Curtain"""," ""Daring Rescues""",,,,,,
The Fourth Protocol (1987),"""Terrorism"""," ""Behind the Iron Curtain"""," ""Fighting the System"""," ""Race Against Time""",,,,,
Ronin (1998),"""Dishonor Among Thieves"""," ""Traitorous Spies/Double Agents""",,,,,,,
Gulag (1985),"""Behind the Iron Curtain"""," ""Escape From Prison""",,,,,,,
Dirty Rotten Scoundrels (1988),"""Cons and Scams"""," ""Assumed Identities"""," ""Dishonor Among Thieves""",,,,,,
Night and the City (1950),"""Cons and Scams"""," ""Dishonor Among Thieves""",,,,,,,
Kaspar Hauser (1994),"""Conspiracies"""," ""Crowned Heads"""," ""Switched at Birth""",,,,,,
Tombstone (1993),"""Feuds"""," ""Sheriffs and Outlaws"""," ""Taming the West""",,,,,,
Blind Hearts (1921),"""Switched at Birth"""," ""Miscarriage of Justice""",,,,,,,
The Awakening Land (1978),"""Taming the West""",,,,,,,,
Damage (1992),"""Self-Destructive Romance"""," ""Infidelity"""," ""Love Triangles"""," ""Wolf in Sheep's Clothing""",,,,,
The Stepfather (1987),"""Assumed Identities"""," ""Woman In Jeopardy"""," ""Serial Killers"""," ""Treacherous Spouses"""," ""Wolf in Sheep's Clothing""",,,,
Victoria (2015),"""Bank Robbery"""," ""Crime Gone Awry"""," ""Wolf in Sheep's Clothing""",,,,,,
The Good Doctor (2011),"""Blackmail"""," ""Doctors and Patients"""," ""Obsessive Quests"""," ""Schemes and Ruses"""," ""Wolf in Sheep's Clothing""",,,,
Bluebeard (2008),"""Dangerous Attraction"""," ""Serial Killers"""," ""Wolf in Sheep's Clothing"""," ""Woman In Jeopardy""",,,,,
The King (2005),"""Fathers and Sons"""," ""Members of the Clergy"""," ""Wolf in Sheep's Clothing""",,,,,,
Creep (2014),"""Mind Games"""," ""Misfits and Outsiders"""," ""Mysterious Strangers"""," ""Wolf in Sheep's Clothing""",,,,,
The League of Gentlemen (1960),"""Bank Robbery""",,,,,,,,
Calvaire (2004),"""Survival in the Wilderness"""," ""Wolf in Sheep's Clothing""",,,,,,,
Masterminds (2016),"""Bank Robbery""",,,,,,,,
The Lookout (2007),"""Bank Robbery"""," ""Dishonor Among Thieves"""," ""Small-Town Life""",,,,,,
Simple Men (1992),"""Sibling Relationships"""," ""Fathers and Sons"""," ""Obsessive Quests"""," ""Bank Robbery"""," ""Haunted By the Past"""," ""Suburban Dysfunction""",,,
Going in Style (1979),"""Unlikely Criminals"""," ""Fish Out of Water"""," ""Bank Robbery"""," ""Golden Years""",,,,,
Sheitan (2006),"""Mind Games"""," ""Femmes Fatales"""," ""Wolf in Sheep's Clothing""",,,,,,
Jesse James (1939),"""Bank Robbery"""," ""Sibling Relationships""",,,,,,,
Dillinger (1945),"""Bank Robbery"""," ""Rise To Power""",,,,,,,
Kalifornia (1993),"""Lovers on the Lam"""," ""Serial Killers"""," ""Wolf in Sheep's Clothing""",,,,,,
Campo De Sangre (2001),"""Infidelity"""," ""Treacherous Spouses"""," ""Wolf in Sheep's Clothing""",,,,,,
I Smile Back (2015),"""Alcoholism"""," ""Crumbling Marriages"""," ""Drug Addiction"""," ""Parenthood"""," ""Suburban Dysfunction""",,,,
Three Men and a Cradle (1985),"""Parenthood""",,,,,,,,
The Name of the Rose (1986),"""Amateur Sleuths"""," ""Members of the Clergy"""," ""Murder Investigations""",,,,,,
The Arrival (1996),"""Evil Aliens"""," ""Heroic Mission"""," ""Amateur Sleuths"""," ""Assumed Identities""",,,,,
Green Street Hooligans (2005),"""Americans Abroad"""," ""Soccer Players"""," ""Street Gangs""",,,,,,
Laura (1944),"""Femmes Fatales""",,,,,,,,
The Damned United (2009),"""Coaches and Players"""," ""Soccer Players""",,,,,,,
Let's Get Lost (1998),"""Soccer Players""",,,,,,,,
Playing for Keeps (2012),"""Coaches and Players"""," ""Soccer Players"""," ""Starting Over""",,,,,,
Coup de tete (1978),"""Success is the Best Revenge"""," ""Small-Town Life"""," ""Miscarriage of Justice"""," ""Soccer Players"""," ""Fighting the System""",,,,
Heleno (2011),"""Drug Addiction"""," ""Infidelity"""," ""Rise and Fall Stories"""," ""Soccer Players""",,,,,
All Stars (1997),"""Soccer Players""",,,,,,,,
After the Cup: Sons of Sakhnin United (2010),"""Race Relations"""," ""Soccer Players""",,,,,,,
Victory (1981),"""Soccer Players""",,,,,,,,
Die Angst des Tormannes beim Elfmeter (1971),"""Soccer Players"""," ""Unlikely Criminals""",,,,,,,
Phorpa (1999),"""Culture Clash"""," ""Soccer Players"""," ""Teachers and Students""",,,,,,
Leeds United: The Glory Years 1965-1975 (1976),"""Soccer Players""",,,,,,,,
Goal! (2005),"""Rags To Riches"""," ""Soccer Players""",,,,,,,
Shaolin Soccer (2001),"""Underdogs"""," ""Soccer Players""",,,,,,,
Fly Away Home (1996),"""Fathers and Daughters"""," ""Heroic Mission"""," ""Single Parents""",,,,,,
Guys and Balls (2004),"""Soccer Players"""," ""Social Injustice"""," ""Success is the Best Revenge"""," ""Underdogs""",,,,,
Pather Panchali (1955),"""Down on Their Luck"""," ""Single Parents""",,,,,,,
The Goodbye Girl (1977),"""Opposites Attract"""," ""Starting Over"""," ""Single Parents""",,,,,,
Flight of the Red Balloon (2007),"""Single Parents""",,,,,,,,
Mean Machine (2001),"""Soccer Players"""," ""Redemption"""," ""Underdogs"""," ""Fighting the System"""," ""All Washed Up""",,,,
The Firm (1988),"""Soccer Players""",,,,,,,,
Pandora's Box (1929),"""Femmes Fatales""",,,,,,,,
L'Enfant (2005),"""Crisis of Conscience"""," ""Down on Their Luck"""," ""Parenthood"""," ""Redemption""",,,,,
The Incredibles (2004),"""Heroic Mission"""," ""Parenthood""",,,,,,,
Othello (1952),"""Dangerous Friends""",,,,,,,,
The Return of the Pink Panther (1975),"""Bumbling Cops""",,,,,,,,
Otello (1986),"""Dangerous Friends"""," ""Star-Crossed Lovers""",,,,,,,
The Private Eyes (1980),"""Bumbling Cops"""," ""Murder Investigations""",,,,,,,
The Naked Gun (1988),"""Bumbling Cops"""," ""Unlikely Heroes""",,,,,,,
Memories of Murder (2003),"""Murder Investigations"""," ""Serial Killers"""," ""Bumbling Cops""",,,,,,
The Other Guys (2010),"""Bumbling Cops"""," ""Unlikely Heroes""",,,,,,,
The Pink Panther Strikes Again (1976),"""Bumbling Cops"""," ""Kidnapping"""," ""Police Corruption""",,,,,,
