movie overview,movie keywords
"Whilst Sinbad ( Kerwin Mathews ) is on his way to Baghdad, transporting the Princess Parisa ( Kathryn Grant ), who is to become his bride and secure peace between her kingdom and his, the ship encounters the isle of Colossa. Sinbad and his men are attacked by a gigantic, bestial one-eyed Cyclops, and are saved only when the mysterious magician Sokurah ( Torin Thatcher ) appears and uses a magic lamp to protect Sinbad's men. But in the process of escaping harm, Sokurah loses the lamp to the Cyclops. He desperately wants to retrieve it and tries to persuade Sinbad to put about and return to Colossa -- but the captain won't jeopardize the safety of the princess or the success of his mission, and the Caliph of Baghdad ( Alec Mango ) feels the same way, even after Sokurah amazes the court by conjuring up a snake-woman. It is only when the princess is shrunk by an evil spell, the breaking of which requires the shell from the egg of the giant Roc -- which resides on Colossa -- that Sokurah can get his expedition mounted, with Sinbad in command. With a crew made up of a handful of his bravest men and some of the most desperate convicts in the Caliph's prison, he has to contend with potential mutiny at every turn, and the men are driven almost to madness before they even reach Colossa. Once there, they find terrors as great as the Cyclops and the treachery of the magician, but Parisa -- in her tiny state -- also discovers the beautiful world inside the lamp, and the lonely boy genie ( Richard Eyer ) who inhabits it. They strike the bargain that, when Sinbad's bravery is added to the equation, will bring their quest to an end. If, that is, they can all survive the dangers that Sokurah puts in their path.","['bestial one-eyed Cyclops', 'Whilst Sinbad', 'lonely boy genie', 'Kerwin Mathews', 'magic lamp', 'Princess Parisa', 'Kathryn Grant', 'secure peace', 'Alec Mango', 'desperate convicts', 'bravest men', 'giant Roc', 'potential mutiny', 'evil spell', 'tiny state', 'Richard Eyer', 'beautiful world']"
"Full Moon Entertainment -- Charles Band's direct-to-video outfit -- tosses together elements from three of its film franchises for this loopy mix & match item. Tracy Scoggins returns as tough cop Judith Grey, who must confront the lethal, wise-cracking terror toys again when they reappear at the same defunct warehouse. When the toys' lecherous leader Baby Oopsy-Daisy kidnaps the diminutive nurse Ginger (reduced to 11 inches by the crazed alien villain of Bad Channels ), Judith seeks the aid of Ginger's similarly-statured boyfriend, Dollman Brick Bardo ( Tim Thomerson , a Charles Band fave), to rescue her and fight the mini-monsters on their own turf. Fun on its own merits, especially if viewed as a crossover comic book; indeed, Full Moon Comics has published a ""Dollman"" series as well. Band also deserves some credit for the sheer audacity of pulling this thing off -- given the ludicrous story elements -- and for keeping the weirdness zipping along at a brisk pace and breezy one-hour running time.","['diminutive nurse Ginger', 'tough cop Judith', 'Tracy Scoggins returns', 'Dollman Brick Bardo', 'breezy one-hour running', 'wise-cracking terror toys', 'Charles Band', 'ludicrous story elements', 'lecherous leader Baby', 'crossover comic book', 'loopy mix', 'sheer audacity', 'film franchises', 'Tim Thomerson', 'brisk pace', 'Moon Entertainment', 'alien villain', 'defunct warehouse', 'similarly-statured boyfriend', 'Bad Channels', 'Moon Comics', 'tosses']"
"Falsely convicted Lionel Barrymore escapes from Devil's Island with fellow prisoner H.B. Walthall. A brilliant scientist, Walthall reveals to Barrymore that he has developed a process to shrink human beings. Upon Walthall's death, Barrymore makes his way back to the old scientist's lab, intending to use Walthall's formula to exact vengeance on those who have wronged him. He does so, clearing his name and securing the future happiness of his daughter Maureen O'Sullivan (who believes that Barrymore is dead) in the process. But Barrymore's crazed assistant Rafaela Ottiano isn't satisfied. ""We'll make the whole world small!"" she hisses, forcing Barrymore to kill her and destroy the formula. To save his daughter from scandal, Barrymore disappears into the night, the implication being that he plans to commit suicide at the first opportunity. The excellent miniature work in The Devil Doll (much of it accomplished with outsized sets, a la the Laurel and Hardy comedy Brats ) successfully takes the viewers' minds off the rather silly plot. Director Tod Browning was always stronger with atmosphere than with plot and dialogue, and this film is no exception. Far less logical than the miniaturization process is Barrymore's decision to disguise himself as an old woman, since this transparent guise wouldn't convince a 2-year-old in real life. Based on the novel Burn, Witch, Burn by Abraham Merritt, The Devil Doll was scripted by several hands, including Erich Von Stroheim .","['Barrymore', 'Lionel Barrymore escapes', 'prisoner H.B. Walthall', 'Devil Doll', ""daughter Maureen O'Sullivan"", 'Erich Von Stroheim', 'Director Tod Browning', 'Hardy comedy Brats', 'excellent miniature work', 'brilliant scientist', 'human beings', 'exact vengeance', 'old scientist', 'outsized sets', 'transparent guise', 'miniaturization process', 'future happiness', 'novel Burn', 'Rafaela Ottiano', 'Abraham Merritt', 'silly plot', 'real life', 'old woman']"
"Attack of the Puppet People is one of the few ""mad scientist"" opuses of the 1950s to be motivated by loneliness rather than megalomania. John Hoyt plays Franz, a seedy European doll-maker who harbors a crush on his secretary Sally ( June Kenney ). When Sally makes plans to marry Franz' top employee Bob ( John Agar ), strange things begin to happen. Before long, both Bob and Sally have been shrunken to doll-size by Franz, who keeps a retinue of living ""puppet people"" to avoid being left alone. Eventually, the little ones rebel against their addlepated but basically harmless keeper, though there's never any ""attack"" per se. Most of the acting is amateurish, with the exception of the always reliable John Hoyt ; the special effects are somewhat better, but still nothing to write home about.","['seedy European doll-maker', 'puppet people', 'John Hoyt', 'reliable John Hoyt', 'secretary Sally', 'mad scientist', 'strange things', 'little ones', 'Franz', 'special effects', 'attack']"
"20th Century Fox presents this remake of the 1966 miniaturized sci-fi flick Fantastic Voyage , in which a group of scientists are shrunken and injected into a dying man's body in hopes of fixing a deadly blood clot. Shawn Levy directs from a script by Shane Salerno and Laeta Kalogridis , with James Cameron handling producing duties.","['flick Fantastic Voyage', 'deadly blood clot', '20th Century Fox', 'handling producing duties', 'Laeta Kalogridis', 'Shane Salerno', 'Shawn Levy']"
"The screen's great existential science fiction film, The Incredible Shrinking Man stars Grant Williams in the title role. While catching some rays on his brother's yacht, Scott Carey ( Williams ) is enveloped by a mysterious dark cloud. Soon after, he discovers that he's getting thinner -- and smaller. Despite the assuring attitude of his family doctor (the inevitable William Schallert ), Scott is losing an inch's worth of height with each passing day. It is finally determined that he has developed an ""anti-cancer,"" a by-product of a new strain of insecticide. By the time he's reached the size of a small boy, Scott has become world-famous. But the phenomenon has adversely affected his personality, turning him into a tyrant, lashing out at the world in general and his faithful wife in particular. An anti-toxin briefly halts the shrinking process, whereupon Scott joins a midget troupe, where he is briefly ""accepted"" for what he has become. But before long he's shrinking again, becoming so tiny that he is forced to live in a dollhouse. When Scott is attacked by his pet cat, his wife assumes that he's been killed; in fact, Scott, by now so minuscule that even a garden-variety spider poses a deadly threat to him, is hiding in his cellar. By film's end, Scott is no larger than an atom. Uncertain of what is in store for him, he steps out into the mists, summing up his newfound philosophy: ""Smaller than smallest, I meant something too. To God there is no zero. I still exist!"" Adapted by Richard Matheson from his own novel, The Incredible Shrinking Man is enhanced by its superb special effects.","['Incredible Shrinking Man', 'inevitable William Schallert', 'mysterious dark cloud', 'science fiction film', 'superb special effects', 'Scott', 'Scott Carey', 'title role', 'Grant Williams', 'anti-toxin briefly', 'new strain', 'faithful wife', 'family doctor', 'midget troupe', 'small boy', 'newfound philosophy', 'Richard Matheson', 'deadly threat', 'pet cat', 'garden-variety spider']"
"The third in director Sam Raimi 's stylish, comic book-like horror trilogy that began with The Evil Dead (1982), this tongue-in-cheek sequel offers equal parts sword-and-sorcery-style action, gore, and comedy. Bruce Campbell returns as the one-armed Ash, now a supermarket employee (""Shop Smart...Shop S-Mart"") who is transported by the powers of a mysterious book back in time with his Oldsmobile '88 to the 14th century medieval era. Armed only with a shotgun, his high school chemistry textbook, and a chainsaw that mounts where his missing appendage once resided, the square-jawed, brutally competent Ash quickly establishes himself as a besieged kingdom's best hope against an ""army of darkness"" currently plaguing the land. Since the skeleton warriors have been resurrected with the aid of the Necronomicon (the same tome that can send Ash back to his own time) he agrees to face the enemy in battle. Ash also finds romance of a sort along the way with a beautiful damsel in distress, Sheila ( Embeth Davidtz ), and contends with his own doppelganger after mangling an important incantation.","['director Sam Raimi', 'parts sword-and-sorcery-style action', 'Bruce Campbell returns', 'school chemistry textbook', 'one-armed Ash', 'tongue-in-cheek sequel', 'Embeth Davidtz', 'Shop S-Mart', 'horror trilogy', 'Evil Dead', 'besieged kingdom', 'supermarket employee', 'important incantation', 'beautiful damsel', '14th century', 'mysterious book', 'skeleton warriors', 'medieval era', 'Shop Smart', 'best hope']"
"Stephen Boyd heads a team of scientists sent on a bizarre experimental mission. Through a revolutionary and as-yet-untested process, the scientists and their special motorized vehicle are miniaturized, then injected into the blood stream of a near-death scientist ( Jean del Val ). Their mission is to relieve a blood clot caused by an assassination attempt. One member of the expedition is bent on sabotage so that the scientist's secrets will die with him. Another member is Raquel Welch , seemingly along for the ride solely because of how she looks in a skintight diving suit. The film's Oscar-winning visual effects (by Art Cruickshank ) chart the progress of the voyagers through the scientist's body, burrowing past deadly antibodies, chunks of tobacco residue in the lungs, and other such obstacles. Oscars also went to Jack Martin Smith and Dale Hennesy 's art direction and Stuart A. Reiss and Walter M. Scott 's set decoration. Fantastic Voyage was later spun off into a Saturday-morning cartoon series.","['bizarre experimental mission', 'skintight diving suit', 'special motorized vehicle', 'Oscar-winning visual effects', 'past deadly antibodies', 'Stuart A. Reiss', 'Saturday-morning cartoon series', 'Walter M. Scott', 'Jack Martin Smith', 'near-death scientist', 'blood clot', 'Raquel Welch', 'Stephen Boyd', 'Dale Hennesy', 'assassination attempt', 'blood stream', 'as-yet-untested process', 'tobacco residue', 'Fantastic Voyage', 'Art Cruickshank', 'art direction']"
"Intergalactic super-cop Brick Bardo ( Tim Thomerson ) crash-lands in the Bronx while on a cosmic head hunt, only to find himself just over a foot tall in our world. Bardo spends time bringing street gangs to justice while pursuing his original quarry.","['super-cop Brick Bardo', 'cosmic head hunt', 'Tim Thomerson', 'original quarry']"
"The first Technicolor horror film since Mystery of the Wax Museum , Dr. Cyclops was directed by Ernest Schoedsack , of King Kong fame. Albert Dekker chews the scenery as mad scientist Dr. Thorkel, who has developed a process that will shrink human beings to doll size. His first victims include mining engineers Bill Stockton ( Thomas Coley ) and Steve Baker ( Victor Kilian ) and biologists Mary Mitchell ( Janice Logan ) and Dr. Bullfinch ( Charles Halton ). At first willing to play-act the role of benevolent despot with his miniaturized captives, Thorkel reveals the more sinister side of his personality by abruptly murdering Bullfinch in cold blood (easily the film's most frightening sequence). The rest of the picture details the escape efforts of the three pint-sized protagonists as they hack their way through a jungle of gigantic foliage and do battle with oversized wildlife. Though the cheery Technicolor hues tend to dilute the ""scare"" quotient in Dr. Cyclops , the special effects are superbly convincing throughout.","['Technicolor horror film', 'cheery Technicolor hues', 'Dr. Cyclops', 'King Kong fame', 'mad scientist Dr.', 'biologists Mary Mitchell', 'Dr. Bullfinch', 'benevolent despot', 'Victor Kilian', 'Albert Dekker', 'Wax Museum', 'Ernest Schoedsack', 'Thomas Coley', 'Janice Logan', 'Charles Halton', 'pint-sized protagonists', 'human beings', 'gigantic foliage', 'engineers Bill Stockton', 'oversized wildlife', 'Steve Baker', 'escape efforts', 'cold blood', 'special effects']"
